Name,URL,Location,Score,Reviews,Main Categories,Average Response Time,On time Delivery Rate,Total Orders so far,Total Order Amount,Services,Quality Control,Certificates,Floor Space,Annual Export Revenue (USD),Production Lines,Total Annual Output (Units),Production Machines,Quality Control on All Lines,QA/QC Inspectors,Main Markets,Main Client Types,Customization Options,New Products Launched Last Year,R&D Engineers
"Guangzhou Hua Kai Electronic Technology Co., Ltd.",,"Guangdong, China ",4.8,22 reviews,≤6h,98.9%,155 orders,"US $50,000+",-1,,,2600,-1,2,145000,12,Yes,3,"Domestic Market(31%), North America(19%), South America(11%)",,"Retailer, Wholesaler, For private use, Manufacturer","light customization, sample processing, graphic processing, customized on demand",15,6
"Anhui JM Healthcare Products Co., Ltd.",,"Anhui, China ",4.9,10 reviews,≤1h,100.0%,69 orders,"US $20,000+",-1,,,4818,-1,19,-1,19,Yes,3,"Domestic Market(70%), North America(12%), Oceania(10%)",,"Retailer, Wholesaler, Brand business, Manufacturer","sample processing, graphic processing, customized on demand",75,3
"Anqing Jiaxin Medical Technology Co., Ltd.",,"Anhui, China ",4.9,7 reviews,≤2h,100.0%,56 orders,"US $1,300,000+",-1,,,31000,8058645,4,-1,295,Yes,14,"Domestic Market(45%), Southeast Asia(25%), North America(5%)",,"Retailer, Engineer, Wholesaler","light customization, sample processing, graphic processing, customized on demand",-1,4
"Guangdong All In One Medical Supplies Import And Export Co., Ltd.",,"Guangdong, China ",4.9,11 reviews,≤5h,95.7%,- orders,-1,-1,,,17960,-1,-1,-1,68,Yes,6,"Southeast Asia(50%), South America(20%), Mid East(20%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","light customization, sample processing, graphic processing, customized on demand, light customization, sample processing, graphic processing, customized on demand",15,4
"Hochey Medical Co., Ltd.",,"Anhui, China ",4.0,20 reviews,≤3h,95.9%,89 orders,"US $280,000+",-1,,,700,4954259,-1,-1,-1,Yes,1,"Africa(20%), North America(10%), South America(10%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","light customization, sample processing, graphic processing, customized on demand, sample processing, graphic processing, customized on demand",-1,0
"Amsino Medical (Shanghai) Co., Ltd.",,"Shanghai, China ",4.9,8 reviews,≤5h,100.0%,19 orders,"US $720,000+",-1,,,11342,-1,5,-1,76,Yes,18,"North America(70%), Western Europe(10%), Domestic Market(10%)",,-1,"graphic processing, customized on demand, sample processing, light customization",31,30
"Jinyulong Medical Technology (hubei) Co., Ltd.",,"Hubei, China ",5.0,4 reviews,≤1h,93.8%,- orders,-1,-1,,,50000,-1,2,-1,314,Yes,3,"South America(40%), North America(20%), Southeast Asia(20%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","light customization, sample processing, graphic processing, customized on demand",50,1
"Jiangsu Mcare Medical Co., Ltd.",,"Jiangsu, China ",4.8,28 reviews,≤2h,98.5%,130 orders,"US $90,000+",-1,,,3200,-1,3,-1,40,Yes,2,"North America(50%), South America(30%), Southeast Asia(10%)",,"Retailer, Wholesaler, Brand business","sample processing, graphic processing",36,2
"Jinan Hengsheng New Building Materials Co., Ltd.",,"Shandong, China ",-1,-1,≤3h,90.9%,20 orders,"US $10,000+",-1,,,12994,-1,4,12753000,17,Yes,2,"Domestic Market(50%), South America(22%), Southeast Asia(10%)",,-1,"light customization, sample processing, graphic processing, customized on demand",60,4
Sunny Medical Equipment Limited,,"Guangdong, China ",4.7,49 reviews,≤3h,93.6%,- orders,-1,-1,,,11112,-1,8,-1,23,Yes,6,"South America(30%), Eastern Europe(20%), Southeast Asia(20%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","light customization, customized on demand, sample processing, graphic processing, sample processing, graphic processing, customized on demand",60,8
"Shenzhen Finicare Co., Ltd.",,"Guangdong, China ",4.9,57 reviews,≤2h,98.3%,232 orders,"US $640,000+",-1,,,2900,6883370,6,-1,46,Yes,15,"North America(50%), Oceania(12%), Eastern Europe(10%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",10,11
"ZOGEAR Medical Co., Ltd.",,"Shanghai, China ",4.3,14 reviews,≤7h,98.1%,93 orders,"US $50,000+",-1,,,5500,-1,4,-1,20,Yes,5,"Mid East(25%), North America(20%), South America(20%)",,"Retailer, Engineer, Wholesaler, Brand business, Manufacturer","light customization, sample processing, customized on demand, graphic processing",8,2
"Shijiazhuang Guanqun Biological Technology Co., Ltd.",,"Hebei, China ",4.3,20 reviews,≤1h,100.0%,122 orders,"US $50,000+",-1,,,38200,732891,20,2147483647,-1,Yes,10,"North America(20%), South America(17%), Western Europe(16%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","light customization, sample processing, graphic processing, customized on demand, sample processing, graphic processing, customized on demand",30,5
"Foshan Gladent Medical Instrument Co., Ltd.",,"Guangdong, China ",5.0,9 reviews,≤5h,100.0%,- orders,-1,-1,,,4000,9000000,4,10000,50,Yes,3,"Domestic Market(25%), North America(15%), South America(15%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","light customization, sample processing, graphic processing, customized on demand, sample processing, light customization, graphic processing, customized on demand",5,4
"Guangzhou Yueshen Medical Equipment Co., Ltd.",,"Guangdong, China ",4.9,19 reviews,≤7h,96.2%,95 orders,"US $370,000+",-1,,,3000,12865405,-1,-1,-1,Yes,11,"Africa(50%), Southeast Asia(10%), Mid East(10%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","light customization, sample processing, graphic processing, customized on demand, sample processing, graphic processing, customized on demand",50,4
"Lianyungang Baishun Medical Treatment Articles Co., Ltd.",,"Jiangsu, China ",-1,-1,≤4h,50.0%,8 orders,"US $6,000+",-1,,,20000,-1,-1,-1,35,Yes,4,"Domestic Market(50%), Africa(20%), Mid East(10%)",,"Retailer, Wholesaler, Brand business, For private use, Manufacturer","light customization, sample processing, customized on demand",2,1
"Foshan Vimel Dental Equipment Co., Ltd.",,"Guangdong, China ",4.7,167 reviews,≤3h,99.1%,- orders,-1,-1,,,1000,3200000,3,189800,15,Yes,4,"Domestic Market(62%), North America(5%), Central America(5%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","light customization, customized on demand, sample processing, graphic processing, sample processing, customized on demand, graphic processing",150,3
"Shanghai Senwo Industry Co., Ltd.",,"Shanghai, China ",5.0,11 reviews,≤3h,90.3%,151 orders,"US $120,000+",-1,,,3635,1991503,10,800000,93,Yes,5,"North America(25%), Western Europe(17%), Eastern Asia(10%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","light customization, sample processing, graphic processing, customized on demand",60,4
"Contec Medical Systems Co., Ltd.",,"Hebei, China ",4.7,45 reviews,≤3h,98.7%,185 orders,"US $1,900,000+",-1,,,67450,109926938,20,-1,32,Yes,27,"Domestic Market(30%), North America(18%), Western Europe(15%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",35,335
"Hebei Jiede Medical Equipment Co., Ltd.",,"Hebei, China ",4.8,6 reviews,≤2h,100.0%,26 orders,"US $80,000+",-1,,,20000,2301621,2,200000,9,Yes,3,"Domestic Market(35%), South America(16%), Eastern Europe(15%)",,"Wholesaler, For private use, Manufacturer","light customization, sample processing, customized on demand",-1,2
"Foshan Vimel Dental Equipment Co., Ltd.",,"Guangdong, China ",4.7,103 reviews,≤2h,99.6%,595 orders,"US $400,000+",-1,,,1000,3200000,3,190000,15,Yes,4,"Domestic Market(62%), North America(5%), Central America(5%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand, sample processing, graphic processing, customized on demand",150,3
Icen Technology Company Limited,,"Guangdong, China ",4.7,13 reviews,≤5h,100.0%,- orders,-1,-1,,,2203,1100000,1,-1,6,Yes,3,"Africa(30%), Southeast Asia(25%), South America(10%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand, sample processing, graphic processing, customized on demand",162,4
"Hangzhou Kangsheng Medical Equipment Co., Ltd.",,"Zhejiang, China ",4.9,6 reviews,≤8h,100.0%,- orders,-1,-1,,,3163,-1,4,4860000,19,Yes,4,"Domestic Market(60%), South America(10%), Mid East(10%)",,-1,"sample processing, graphic processing",15,10
"Shanghai Hua En Industrial Co., Ltd.",,"Shanghai, China ",4.6,12 reviews,≤6h,94.1%,43 orders,"US $200,000+",-1,,,660,-1,1,-1,-1,Yes,3,"Western Europe(38%), North America(35%), Mid East(15%)",,-1,"sample processing, graphic processing",50,1
"Zhejiang Huafu Medical Equipment Co., Ltd.",,"Zhejiang, China ",3.7,6 reviews,≤6h,92.3%,52 orders,"US $390,000+",-1,,,12826,-1,-1,66000000,58,Yes,5,"Domestic Market(30%), Eastern Europe(10%), Mid East(10%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","light customization, sample processing, graphic processing, customized on demand",15,1
"Lannx Biotech (shenzhen) Co., Ltd.",,"Guangdong, China ",4.7,64 reviews,≤2h,97.5%,222 orders,"US $270,000+",-1,,,1580,2080000,-1,-1,76,Yes,1,"North America(22%), South America(20%), Africa(16%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","no, light customization, sample processing, graphic processing, customized on demand",10,6
"Jiangsu Yizheng Carepro Medical Instruments Co., Ltd.",,"Jiangsu, China ",4.6,3 reviews,≤7h,100.0%,54 orders,"US $420,000+",-1,,,11226,4450000,5,-1,17,Yes,3,"North America(30%), Oceania(10%), Eastern Asia(10%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand, sample processing, graphic processing, customized on demand",-1,3
"Ningbo Chinmed Technology Co., Ltd.",,"Zhejiang, China ",-1,-1,≤11h,100.0%,- orders,-1,-1,,,9365,-1,2,-1,20,Yes,6,"North America(30%), Eastern Europe(15%), South America(10%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",20,3
"Wuhan Pakcare Bio-Technology Co., Ltd.",,"Hubei, China ",5.0,2 reviews,≤3h,84.0%,38 orders,"US $1,000,000+",-1,,,11000,-1,16,-1,157,Yes,12,"North America(49%), Eastern Europe(15%), Western Europe(15%)",,"Retailer, Wholesaler","light customization, sample processing, graphic processing, customized on demand",200,12
Beijing Jinwei Kangda Medical Instrument Ltd.,,"Beijing, China ",4.8,36 reviews,≤3h,98.9%,193 orders,"US $180,000+",-1,,,18755,-1,5,-1,73,Yes,8,"North America(50%), Domestic Market(10%), Mid East(6%)",,"Retailer, Wholesaler, Brand business","sample processing, graphic processing, customized on demand, sample processing, graphic processing, customized on demand",160,4
"Shanghai Koolcare Technology Co., Ltd.",,"Shanghai, China ",-1,-1,≤4h,100.0%,- orders,-1,-1,,,7159,6273854,-1,-1,37,Yes,1,"North America(55%), Western Europe(40%), Southern Europe(2%)",,"Retailer, Wholesaler, Brand business, Manufacturer","light customization, customized on demand, sample processing, graphic processing, light customization, sample processing, graphic processing, customized on demand",5,5
"Anping Guardian Medical Equipment Co., Ltd.",,"Hebei, China ",4.9,31 reviews,≤2h,79.4%,- orders,-1,-1,,,13004,12880000,2,-1,34,Yes,11,"Western Europe(50%), Eastern Europe(20%), Northern Europe(10%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand, sample processing, graphic processing, customized on demand",280,14
"Shanghai Huifeng Medical Instrument Co., Ltd.",,"Shanghai, China ",4.9,37 reviews,≤5h,88.5%,55 orders,"US $200,000+",-1,,,7198,-1,-1,-1,-1,Yes,2,-1,,"Retailer, Wholesaler, Brand business, Manufacturer","light customization, customized on demand, sample processing, graphic processing",5,3
"Shenzhen Fitconn Technology Co., Ltd.",,"Guangdong, China ",4.6,51 reviews,≤3h,92.8%,272 orders,"US $1,700,000+",-1,,,6966,8200000,5,-1,20,Yes,6,"Southeast Asia(20%), Mid East(15%), South America(10%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",-1,-1
"Farmasino Co., Ltd.",,"Jiangsu, China ",5.0,3 reviews,≤12h,100.0%,- orders,-1,-1,,,15133,110307116,-1,-1,-1,Yes,12,"Africa(20%), Mid East(20%), Oceania(15%)",,"Retailer, Engineer, Wholesaler, Brand business, Manufacturer","customized on demand, light customization, sample processing, graphic processing, customized on demand, light customization",6,44
"Hubei Wanli Protective Products Co., Ltd.",,"Hubei, China ",5.0,5 reviews,≤5h,100.0%,33 orders,"US $20,000+",-1,,,76708,41752835,10,-1,328,Yes,10,"Domestic Market(30%), Western Europe(15%), Northern Europe(10%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","light customization, customized on demand, sample processing, graphic processing",50,4
"Tianjin Health Sci-Tech Co., Ltd.",,"Tianjin, China ",4.8,9 reviews,≤2h,100.0%,40 orders,"US $30,000+",-1,,,1036,-1,4,-1,8,Yes,2,"North America(20%), South America(18%), Domestic Market(15%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","light customization, sample processing, graphic processing, customized on demand",10,3
"LUOYANG DAZI PLASTIC INDUSTRY CO., LTD.",,"Henan, China ",5.0,1 reviews,≤2h,100.0%,20 orders,"US $3,000+",-1,,,53436,-1,12,-1,280,Yes,10,"Domestic Market(95%), South America(2%), Southeast Asia(2%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand, no",20,6
"Zhuji Daxin Chemical Fiber Co., Ltd.",,"Zhejiang, China ",5.0,2 reviews,≤1h,100.0%,- orders,-1,-1,,,28000,-1,-1,-1,-1,Yes,4,-1,,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",-1,1
Guangzhou Hengxin Thread Factory,,"Guangdong, China ",4.9,30 reviews,≤2h,100.0%,60 orders,"US $70,000+",-1,,,20600,-1,1,7900,165,Yes,10,"Domestic Market(76%), South America(9%), Eastern Europe(6%)",,-1,"light customization, sample processing, graphic processing, customized on demand",50,5
"Zhejiang Jiahe Textile Co., Ltd.",,"Zhejiang, China ",4.3,2 reviews,≤5h,100.0%,10 orders,"US $20,000+",-1,,,5500,700000,2,1450000,69,Yes,2,"Domestic Market(44%), North America(14%), South America(14%)",,"Retailer, Engineer, Wholesaler, Brand business, Manufacturer",no,30,0
"Ningbo MH Industry Co., Ltd.",,"Zhejaing, China ",5.0,3 reviews,≤2h,100.0%,21 orders,"US $440,000+",-1,,,26926,352600000,19,-1,-1,Yes,5,"Africa(31%), South America(17%), Mid East(15%)",,"Retailer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand, sample processing, graphic processing, customized on demand",-1,20
"Weifang Jielong Textile Co., Ltd.",,"Shandong, China ",4.7,16 reviews,≤3h,100.0%,71 orders,"US $1,100,000+",-1,,,12748,6148796,2,-1,13,Yes,5,"South America(20%), Africa(20%), South Asia(20%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","light customization, sample processing, graphic processing, customized on demand, no",20,10
"Guangdong Mengli Textile Technology Co., Ltd.",,"Guangdong, China ",4.9,14 reviews,≤1h,100.0%,- orders,-1,-1,,,4700,-1,10,-1,50,Yes,4,"Southeast Asia(20%), Africa(20%), North America(15%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, customized on demand, graphic processing",800,3
"Jiangsu Ptk New Material Technology Co., Ltd.",,"Jiangsu, China ",4.8,3 reviews,≤1h,92.3%,- orders,-1,-1,,,2370,-1,2,51,15,Yes,1,"Domestic Market(90%), Eastern Asia(10%)",,"Engineer, Wholesaler, Brand business, Manufacturer","light customization, sample processing, graphic processing",40,1
"Hebei Xingye Import & Export Co., Ltd.",,"Hebei, China ",4.9,10 reviews,≤2h,97.3%,72 orders,"US $1,400,000+",-1,,,30464,-1,3,20000000,280,Yes,2,"South America(30%), Africa(30%), Southeast Asia(10%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","light customization, sample processing, graphic processing, customized on demand, light customization, sample processing, customized on demand, graphic processing",-1,3
"Changyi Baiyi Textile Co., Ltd.",,"Shandong, China ",5.0,5 reviews,≤2h,100.0%,- orders,-1,-1,,,2310,9365433,-1,2950000,32,Yes,3,"Eastern Europe(25%), South Asia(18%), Africa(15%)",,"For private use, Manufacturer","sample processing, graphic processing, customized on demand",25,5
"Jiangsu Boyue Chemical Fiber Co., Ltd.",,"Jiangsu, China ",5.0,1 reviews,≤2h,100.0%,- orders,-1,-1,,,11384,-1,7,22010,144,Yes,5,"Domestic Market(80%), Mid East(15%), Southeast Asia(5%)",,-1,"light customization, sample processing, graphic processing, customized on demand",-1,1
"Zhejiang Raylon Textile Technology Co.,Ltd.",,"Zhejiang, China ",-1,-1,≤3h,100.0%,- orders,-1,-1,,,27880,-1,-1,-1,-1,Yes,7,"Domestic Market(30%), North America(10%), South America(10%)",,"Retailer, Engineer, Wholesaler, Brand business, Manufacturer","sample processing, graphic processing, customized on demand",-1,10
"Guangzhou Lvju Waterproof Canvas Co., Ltd.",,"Guangdong, China ",4.7,49 reviews,≤3h,96.9%,241 orders,"US $330,000+",-1,,,8350,581505,10,-1,16,Yes,2,"Southeast Asia(20%), Africa(15%), North America(10%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand, sample processing, graphic processing, customized on demand",150,4
"Zhangjiagang City Shazhou Textile Printing And Dyeing Imp. & Exp. Co., Ltd.",,"Jiangsu, China ",-1,-1,≤21h,100.0%,1 orders,"US $3,000+",-1,,,72869,-1,10,-1,-1,Yes,8,"Africa(50%), Mid East(30%), Northern Europe(10%)",,"Retailer, Wholesaler, Brand business, Manufacturer","sample processing, graphic processing, customized on demand, sample processing, graphic processing, customized on demand",3500,15
"Fujian Yorgreat Textile Co., Ltd.",,"Fujian, China ",-1,-1,≤3h,100.0%,6 orders,US $100+,-1,,,2000,10238555,1,-1,36,Yes,1,"North America(40%), South Asia(39%), Western Europe(20%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand, sample processing, graphic processing, customized on demand",15,1
"Shaoxing Suerte Textile Co., Ltd.",,"Zhejiang, China ",5.0,2 reviews,≤3h,97.6%,94 orders,"US $50,000+",-1,,,2572,-1,-1,-1,18,Yes,2,"Mid East(35%), Southeast Asia(34%), North America(20%)",,"Retailer, Wholesaler, Brand business, For private use, Manufacturer","no, no",0,0
"Zhejiang Tangber Trade Co., Ltd.",,"Zhejiang, China ",5.0,3 reviews,≤4h,100.0%,24 orders,"US $260,000+",-1,,,2598,10080000,1,-1,99,Yes,5,"Southeast Asia(20%), North America(15%), Mid East(13%)",,"Retailer, Wholesaler, Brand business, For private use, Manufacturer",no,250,0
"Foshan City Nanhai Zhongyu Textile Co., Ltd.",,"Guangdong, China ",-1,-1,≤1h,100.0%,- orders,-1,-1,,,70832,4215544,35,23100000,249,Yes,22,"Domestic Market(62%), Southeast Asia(20%), Northern Europe(7%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand, sample processing, graphic processing, customized on demand",300,17
"Shantou Liangsheng Textile Co., Limited",,"Guangong, China ",4.9,37 reviews,≤3h,100.0%,76 orders,"US $20,000+",-1,,,3953,1400000,4,6970000,20,Yes,8,"Domestic Market(63%), Eastern Europe(12%), South America(6%)",,"Retailer, Wholesaler, Manufacturer","light customization, customized on demand, sample processing, graphic processing, no",560,4
"Hebei Niuyuan Technology Co.,Ltd",,"Hebei, China ",4.8,2 reviews,≤3h,100.0%,- orders,-1,-1,,,20230,4200000,8,-1,287,Yes,5,"Africa(20%), South America(10%), Southeast Asia(10%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand, sample processing, graphic processing, customized on demand",55,9
"Zhejiang Sparkle Textile Co., Ltd.",,"Zhejiang, China ",4.7,46 reviews,≤8h,97.3%,161 orders,"US $310,000+",-1,,,2252,4065140,30,-1,30,Yes,3,"Mid East(46%), Africa(12%), South Asia(7%)",,"Retailer, Wholesaler, Brand business, Manufacturer","sample processing, graphic processing, customized on demand",50,2
"Ruzhou Yunfan Textile Import Export Trade Co., Ltd.",,"Henan, China ",4.6,37 reviews,≤2h,100.0%,196 orders,"US $270,000+",-1,,,1540,-1,1,-1,9,Yes,2,"North America(58%), South America(5%), Eastern Europe(5%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand, no",30,1
"Zhejiang Zhongcai Industrial Co., Ltd.",,"Zhejiang, China ",-1,-1,≤9h,100.0%,3 orders,"US $2,000+",-1,,,21800,-1,22,2022000,35,Yes,3,"Southeast Asia(48%), South America(18%), Mid East(14%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","light customization, sample processing, graphic processing, customized on demand",420,4
"Dongguan Dingtian New Material Technology Co., Ltd.",,"Guangdong, China ",4.9,24 reviews,≤2h,100.0%,- orders,-1,-1,,,1200,-1,2,-1,36,Yes,4,"North America(25%), South America(20%), Southeast Asia(20%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",300,2
"Jiaxing Fengshang Textile Co., Ltd.",,"Zhejiang, China ",4.6,8 reviews,≤2h,96.8%,48 orders,"US $140,000+",-1,,,1510,0,33,75000000,33,Yes,4,"Domestic Market(60%), Mid East(25%), Southeast Asia(5%)",,"Retailer, other|E-commerce Customers, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand, sample processing, graphic processing, customized on demand",1200,4
"Dongguan Anruda Textile Co., Ltd.",,"Guangdong, China ",4.7,7 reviews,≤2h,100.0%,- orders,-1,-1,,,5455,-1,5,-1,25,Yes,2,"North America(35%), Eastern Europe(17%), Western Europe(17%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",500,3
"Shijiazhuang Sanjin Special Fabric Co., Ltd.",,"Hebei, China ",5.0,1 reviews,≤9h,100.0%,- orders,-1,-1,,,8220,-1,-1,-1,-1,Yes,3,"Domestic Market(54%), South Asia(18%), North America(15%)",,-1,-1,3,3
"Shaanxi Yalan Textile Co., Ltd.",,"Shaanxi, China ",4.8,26 reviews,≤4h,95.4%,138 orders,"US $220,000+",-1,,,4548,-1,4,10000000,54,Yes,19,"Domestic Market(40%), Eastern Europe(12%), Mid East(11%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","light customization, sample processing, graphic processing, customized on demand, light customization, sample processing, graphic processing, customized on demand",600,21
"Hebei Ourui Textile Technology Co., Ltd.",,"Hebei, China ",4.8,18 reviews,≤2h,90.0%,104 orders,"US $150,000+",-1,,,13300,-1,50,-1,54,Yes,3,"South America(50%), Africa(42%), Southeast Asia(8%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","graphic processing, sample processing, customized on demand, sample processing, graphic processing, customized on demand",-1,2
Shandong Evergreen Industries Ltd.,,"Shandong, China ",4.9,9 reviews,≤3h,100.0%,48 orders,"US $30,000+",-1,,,3500,1500000,1,-1,10,Yes,1,"Domestic Market(60%), North America(20%), South America(10%)",,"Wholesaler, Brand business, For private use","sample processing, graphic processing, customized on demand",60,1
"Liaoning Shunwei Carbon Fiber Technology Co., Ltd.",,"Liaoning, China ",-1,-1,≤3h,100.0%,- orders,-1,-1,,,53628,-1,17,-1,21,Yes,5,Domestic Market(100%),,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",8,5
"Changxing Jian Da Silk Textile Co., Ltd.",,"Zhejiang, China ",-1,-1,≤4h,100.0%,2 orders,US $50+,-1,,,3838,-1,-1,50000000,204,Yes,1,"Southeast Asia(60%), Domestic Market(20%), North America(10%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","light customization, sample processing, graphic processing, customized on demand",2,1
"Yingde Hongli Leather Co., Ltd.",,"Guangdong, China ",4.7,10 reviews,≤4h,100.0%,- orders,-1,-1,,,48436,-1,6,-1,33,Yes,20,"Domestic Market(60%), South America(20%), Mid East(20%)",,"Retailer, Engineer, Brand business, For private use","sample processing, graphic processing, customized on demand",100,20
"Cixi Hong Yuan Feather Products Co., Ltd.",,"Zhejiang, China ",4.9,54 reviews,≤6h,97.4%,86 orders,"US $1,400,000+",-1,,,21014,4100000,2,600,30,Yes,4,"North America(24%), Western Europe(16%), Southeast Asia(15%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",12,2
"Foshan Huicai Non-Woven Technology Co., Ltd.",,"Guangdong, China ",4.9,20 reviews,≤2h,100.0%,84 orders,"US $170,000+",-1,,,5000,-1,5,2000,40,Yes,1,"Domestic Market(70%), South America(15%), Africa(10%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","light customization, graphic processing, sample processing, customized on demand",10,1
Wujiang Tanqiu Yuanfeng Weaving Factory,,"Jiangsu, China ",4.5,12 reviews,≤2h,100.0%,64 orders,"US $200,000+",-1,,,12000,-1,-1,-1,159,Yes,7,"Southeast Asia(55%), Mid East(10%), Domestic Market(10%)",,"Retailer, Wholesaler, Brand business, Manufacturer","light customization, graphic processing, customized on demand, sample processing",10,2
"Dongguan Sovetl Special Rope & Webbing Co., Ltd.",,"Guangdong, China ",4.9,10 reviews,≤3h,94.5%,116 orders,"US $40,000+",-1,,,2700,1340812,6,-1,79,Yes,2,"North America(40%), Eastern Europe(20%), Southeast Asia(10%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",1000,2
"Huizhou Jinhaocheng Nonwovens Co., Ltd.",,"Guangdong, China ",5.0,2 reviews,≤8h,91.3%,57 orders,"US $660,000+",-1,,,15308,-1,6,-1,60,Yes,4,"Domestic Market(60%), North America(16%), Western Europe(12%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand, sample processing, graphic processing, customized on demand",60,3
"Canmax Technologies Co.,Ltd.",,"Jiangsu, China ",5.0,8 reviews,≤5h,100.0%,22 orders,"US $180,000+",-1,,,54420,10628114,1,-1,191,Yes,32,"Domestic Market(82%), North America(5%), South Asia(5%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","no, sample processing, graphic processing, customized on demand",11,13
"Fujian Sijia Industrial Material Co., Ltd.",,"Fujian, China ",5.0,1 reviews,≤6h,100.0%,- orders,-1,-1,,,56073,28000000,25,139650000,323,Yes,18,"Domestic Market(60%), North America(15%), Eastern Europe(11%)",,"Retailer, Engineer, Wholesaler, Brand business, Manufacturer","light customization, sample processing, graphic processing, customized on demand",90,35
"Hebei Wohua Textile Co., Ltd.",,"Hebei, China ",5.0,11 reviews,≤3h,100.0%,41 orders,"US $1,100,000+",-1,,,2105,-1,2,-1,96,Yes,3,"Eastern Europe(20%), Africa(20%), Domestic Market(16%)",,"Retailer, Engineer, Wholesaler, Brand business","light customization, sample processing, graphic processing, customized on demand, light customization, customized on demand, sample processing, graphic processing",0,1
"Changzhou Boqi Textile Co., Ltd.",,"Jiangsu, China ",4.9,13 reviews,≤6h,97.1%,- orders,-1,-1,,,15000,6722441,4,36000000,17,Yes,10,"Domestic Market(30%), Southeast Asia(20%), North America(10%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","light customization, customized on demand, sample processing, graphic processing, light customization, customized on demand, sample processing, graphic processing",200,11
