Name,URL,Location,Score,Reviews,Main Categories,Average Response Time,On time Delivery Rate,Total Orders so far,Total Order Amount,Services,Quality Control,Certificates,Floor Space,Annual Export Revenue (USD),Production Lines,Total Annual Output (Units),Production Machines,Quality Control on All Lines,QA/QC Inspectors,Main Markets,Main Client Types,Customization Options,New Products Launched Last Year,R&D Engineers
"Zhejiang Huachang Hydraulic Machinery Co., Ltd.",https://hchydraulics.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600878846922,"Zhejiang, China ",-1,-1,,≤3h,1.0,-1,-1,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability, Warranty available",ISO14001,51088,-1,7,-1,46,Yes,40,"Domestic Market(95%), Western Europe(3%), North America(2%)","Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",500,34
"Poocca Hydraulic (shenzhen) Co., Ltd.",https://poocca.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=11000000295769,"Guangdong, China ",4.6,32,,≤3h,1.0,-1,-1,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability, Warranty available",CE,2500,-1,2,-1,10,Yes,2,"North America(20%), Southeast Asia(15%), Western Europe(12%)","Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand, sample processing, graphic processing, customized on demand",770,7
"Hefei Changxin Forklift Parts Co., Ltd.",https://hfga.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600105991333,"Anhui, China ",4.9,60,,≤3h,0.9259999999999999,183,240000,"Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability, Warranty available",-1,3160,-1,1,-1,13,Yes,1,"Southeast Asia(20%), Eastern Europe(10%), Western Europe(10%)","Retailer, Wholesaler, Brand business, Manufacturer","sample processing, graphic processing, customized on demand, sample processing, graphic processing, customized on demand",55,4
"Shenzhen Xinchangsheng Bearing Co., Ltd.",https://xcs-bearing.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=62030781739,"Guangdong, China ",4.8,21,,≤3h,1.0,191,170000,"Minor customization, Design-based customization, Sample-based customization, Full customization, On-site technical support","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability","ISO 9001, CE, REACH, RoHS",2800,-1,2,31000000,26,Yes,3,"Domestic Market(30%), Eastern Europe(10%), Western Europe(10%)","Retailer, Wholesaler, Brand business, Manufacturer","sample processing, graphic processing, customized on demand, light customization",112,1
"Ningbo Fenghua Hongma Motor Co., Ltd.",https://electricalmotor.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1601114704390,"Zhejiang, China ",-1,-1,,≤4h,1.0,-1,-1,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability, Warranty available","EMC, CE, EAC, UKCA",14000,1600000,3,-1,112,Yes,5,"Domestic Market(58%), Southeast Asia(6%), Mid East(6%)","Retailer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",51,3
"Guangzhou Hanpose 3d Technology Co., Ltd.",https://hanpose.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=62362075657,"Guangdong, China ",4.9,37,,≤1h,0.992,213,230000,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability, Warranty available","CE, FCC, RoHS",930,-1,3,-1,20,Yes,4,"North America(20%), Eastern Europe(15%), South America(10%)","Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","light customization, sample processing, graphic processing, customized on demand, light customization, sample processing, graphic processing, customized on demand",-1,3
"Yancheng Jingdong Hydraulic Machine Co., Ltd.",https://jsjdyy.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600486517220,"Jiangsu, China ",4.9,18,,≤3h,0.946,100,100000,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability",ISO 9001,5000,-1,1,-1,38,Yes,2,"Domestic Market(45%), North America(10%), Central America(10%)","Retailer, Engineer, Wholesaler, Brand business, Manufacturer","sample processing, graphic processing, customized on demand",-1,3
Shanghai Ryan Fluid Power Company Ltd.,https://ryftcn.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600235738882,"Shanghai, China ",5.0,7,,≤12h,0.9259999999999999,63,740000,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability",CE,47117,-1,-1,-1,67,Yes,24,"Domestic Market(40%), North America(34%), South America(4%)","Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","customized on demand, sample processing, graphic processing",70,20
"Julu Binhao Transmission Equipment Co., Ltd.",https://jlbh.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1601052129661,"Hebei, China ",5.0,6,,≤3h,1.0,-1,-1,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability, Warranty available",ISO 9001,19554,-1,9,4000000,169,Yes,1,"Domestic Market(90%), Eastern Europe(5%), Southeast Asia(5%)","Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",-1,5
"Hebei Longshengtengyu Pump Industry Co., Ltd.",https://xttractor.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=10000016403822,"Hebei, China ",5.0,1,,≤5h,0.5,4,600,"Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, Quality traceability, Warranty available",-1,9507,1400000,6,-1,135,Yes,6,"Eastern Europe(60%), Mid East(20%), South America(5%)","Retailer, Engineer, Wholesaler, Manufacturer","sample processing, graphic processing, customized on demand",15,2
"Shandong Sair Mechanical Guide Co., Ltd.",https://sdsaier.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600740390609,"Shandong, China ",4.9,45,,≤4h,1.0,262,170000,"Minor customization, Design-based customization, Sample-based customization, Full customization, 3D design capabilities","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability, Warranty available",-1,22000,1455000,1,-1,50,Yes,4,"Domestic Market(35%), North America(18%), Eastern Europe(16%)","Brand business, For private use","sample processing, graphic processing, customized on demand, sample processing, graphic processing, customized on demand",12,12
"Jiangsu Fenghua Transmission Technology Co., Ltd.",https://fenghuareducer.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600112497352,"Jiangsu, China ",5.0,13,,≤3h,1.0,61,60000,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, Testing instruments, On-site material inspection, Quality traceability",CE,4120,-1,-1,-1,-1,Yes,-1,"Western Europe(12%), North America(10%), Eastern Europe(10%)","Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand, sample processing, graphic processing, customized on demand",-1,-1
"Shanghai Client Diesel Engine Co., Ltd.",https://scdcchina.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600108203693,"Shanghai, China ",4.9,19,,≤9h,1.0,68,1900000,"Minor customization, Design-based customization, Sample-based customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Quality traceability, Warranty available",-1,2428,9474627,1,-1,4,Yes,1,"Southeast Asia(30%), Africa(14%), Oceania(8%)","Engineer, Brand business, Manufacturer","light customization, sample processing, graphic processing",-1,1
"Shenzhen Shunli Motor Co., Ltd.",https://shunlimotor.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600804554422,"Guandong, China ",4.9,12,,≤5h,1.0,68,320000,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability","ISO 9001, FCC, CE, UL",5130,-1,7,7050000,145,Yes,5,"Domestic Market(35%), South America(15%), North America(10%)","Retailer, Engineer, Brand business, For private use, Manufacturer","customized on demand, graphic processing, sample processing",15,6
"Jinhua Haoqiang Chain Co., Ltd.",https://haoqiangchain.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1601215774210,"Zhejiang, China ",5.0,2,,≤3h,1.0,-1,-1,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability",-1,3600,-1,-1,-1,-1,Yes,3,"Southeast Asia(75%), Africa(13%), Northern Europe(8%)","Retailer, Wholesaler, Brand business","sample processing, graphic processing, customized on demand",20,1
"Wuxi Lingming Electric Drive Technology Co., Ltd.",https://lmotor.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600785407460,"Jiangsu, China ",5.0,8,,≤2h,1.0,13,60000,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability, Warranty available","CQC, CE",21600,-1,3,-1,58,Yes,6,"Southeast Asia(60%), South Asia(40%)","Retailer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand, light customization, sample processing, graphic processing, customized on demand",6,6
"Hangzhou Mige Electric Co., Ltd.",https://hzmgdj.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600199661424,"Zhejiang, China ",4.1,4,,≤3h,0.929,27,20000,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability, Warranty available",CE,43667,1850948,-1,-1,-1,Yes,31,"Domestic Market(20%), Southeast Asia(15%), Western Europe(15%)","Retailer, Engineer, Wholesaler, Brand business, Manufacturer","light customization, sample processing, graphic processing, customized on demand",35,33
"Ningbo Helm Tower Noda Hydraulic Co., Ltd.",https://hydraulic-china.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=943930904,"Zhejiang, China ",4.8,7,,≤6h,0.9329999999999999,27,20000,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability, Warranty available",ISO 9001,8942,-1,2,-1,57,Yes,12,"Eastern Europe(18%), North America(15%), Western Europe(12%)","Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",12,18
"Qingzhou Boxin Huasheng Hydraulic Technology Co., Ltd.",https://boxinhuasheng.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600992140998,"Shandong, China ",4.9,4,,≤5h,1.0,-1,-1,"Design-based customization, Sample-based customization, Full customization, On-site technical support","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability",IATF 16949,51000,-1,16,-1,159,Yes,21,"Domestic Market(60%), Western Europe(11%), South America(10%)","Retailer, Engineer, Wholesaler, Brand business, Manufacturer","sample processing, graphic processing, customized on demand, sample processing, graphic processing, customized on demand",100,24
"Foshan Yisheng Machinery Equipment Co., Ltd.",https://yishghydraulicpump.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600533738530,"Guangdong Province, China ",4.9,16,,≤2h,1.0,81,100000,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability, Warranty available",-1,8000,-1,5,260000,30,Yes,4,"Southeast Asia(30%), Domestic Market(20%), Central America(10%)","Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand, light customization, sample processing, customized on demand, graphic processing",30,6
"TT Motor(Shenzhen) Industrial Co, Ltd",https://ttmotorhk.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600198104714,"Guangdong, China ",4.8,11,,≤3h,0.9440000000000001,60,130000,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability, Warranty available",EMC,3231,2269000,6,12200000,115,Yes,4,"Domestic Market(62%), North America(5%), Eastern Europe(5%)","Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand, sample processing, graphic processing, customized on demand",16,18
"Shenzhen Aotuoshi Hydraulic Machinery Co., Ltd.",https://aotuoshi.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600970036574,"Guangdong, China ",5.0,6,,≤5h,1.0,-1,-1,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability, Warranty available",-1,5000,-1,6,-1,38,Yes,7,"Domestic Market(49%), North America(10%), South America(5%)","Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",4,7
"Taizhou Xinyuhai Intelligent Technology Co., Ltd.",https://tzxinyuhai.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1601058969079,"Zhejiang, China ",5.0,6,,≤13h,1.0,9,6000,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability",CE,22483,2236000,-1,-1,-1,Yes,10,"Domestic Market(50%), Southeast Asia(13%), Mid East(12%)","Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",-1,5
"Shenzhen Just Motion Control Electromechanics Co.,ltd.",https://powermotion.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=62067163245,"Guangdong, China ",4.9,22,,≤3h,1.0,211,1000000,"Minor customization, Design-based customization, Sample-based customization, Full customization, On-site technical support","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability",CE,14000,5000000,24,-1,26,Yes,8,"Domestic Market(70%), Mid East(10%), Western Europe(10%)","Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","light customization, sample processing, graphic processing, customized on demand",80,80
"Anhui High Precision Gear Transmission Co., Ltd.",https://hpsreducer.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600641733105,"Anhui, China ",5.0,3,,≤3h,1.0,-1,-1,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, QA/QC inspectors, On-site material inspection, Quality traceability, Warranty available",CE,1723,-1,20,1500000,60,Yes,10,"Domestic Market(90%), North America(2%), Eastern Europe(2%)","Retailer, Wholesaler, Brand business, Manufacturer","sample processing, graphic processing, customized on demand, sample processing, graphic processing, customized on demand",400,5
"Fujian Zhenyuan Hydraulic Equipment Co., Ltd.",https://fjzyyy.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=60750363339,"Fujian, China ",4.7,36,,≤1h,0.9670000000000001,392,780000,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, On-site material inspection, Quality traceability",EN ISO 12100,256,-1,1,700,8,Yes,2,"Eastern Europe(40%), Domestic Market(23%), North America(10%)","Retailer, Wholesaler, Brand business, Manufacturer","graphic processing, sample processing, customized on demand, sample processing, graphic processing, customized on demand",100,2
"Zhejiang Shenlong Chain Transmission Co., Ltd.",https://shenlongchain.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600981724621,"Zhejiang, China ",-1,-1,,≤13h,0.5,3,10000,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability, Warranty available","ISO 9001, CE",14355,1136136,6,-1,350,Yes,6,"Domestic Market(40%), North America(16%), Eastern Europe(12%)","Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",15,13
"Weifang Chengfeiyue Hydraulic Machinery Co., Ltd.",https://wfcfy.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600867851795,"Shandong, China ",5.0,6,,≤3h,1.0,61,150000,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability","ISO14001, IATF 16949",5998,-1,2,216000,42,Yes,3,"Domestic Market(50%), Mid East(20%), Southern Europe(20%)","Retailer, Wholesaler, Brand business, For private use, Manufacturer","customized on demand, light customization, sample processing, graphic processing, no",25,3
"Dandong Huanghai Electric Motor Co., Ltd.",https://ddhhdj.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1601210341841,"Liaoning, China ",-1,-1,,≤13h,1.0,-1,-1,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability, Warranty available","ISO 9001, CCC",43813,-1,1,18000,40,Yes,7,Domestic Market(100%),"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",300,4
"Zhongshan Pengfei Electrical Appliance Co., Ltd.",https://pengfeimotor.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600505677303,"Guangdong, China ",5.0,3,,≤2h,1.0,27,1300000,"Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability",-1,10130,6034000,8,46459000,158,Yes,12,"Domestic Market(30%), North America(22%), South America(18%)","Retailer, Engineer, Wholesaler, Manufacturer","sample processing, graphic processing, customized on demand, sample processing, graphic processing, customized on demand",139,5
"Dongguan G-Rock Electromechanical Technology Co., Ltd.",https://grockmotion.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600599717492,"Guangdong, China ",4.8,14,,≤8h,0.975,-1,-1,"Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability","CE, RoHS, EMC",2000,-1,4,-1,15,Yes,3,"Domestic Market(40%), North America(28%), Oceania(17%)","Retailer, Engineer, Wholesaler, Brand business, Manufacturer","sample processing, graphic processing, customized on demand",6,3
"Xuzhou XMK Slewing Bearing Co., Ltd.",https://xzxmk.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600805727374,"Jiangsu, China ",4.6,4,,≤3h,1.0,-1,-1,"Minor customization, Design-based customization, Sample-based customization, Full customization, On-site technical support","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, On-site material inspection, Quality traceability, Warranty available","ISO45001, ISO14001, RoHS",3000,322000,2,-1,22,Yes,2,"Southeast Asia(20%), Northern Europe(20%), North America(15%)","Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",40,2
"Shenzhen Qianhai TT Technology Co., Ltd.",https://qhttmotor.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600887633565,"Guabgdong, China ",5.0,12,,≤4h,1.0,64,100000,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability, Warranty available",CE,3231,-1,6,-1,-1,Yes,4,"Western Europe(40%), North America(30%), Mid East(20%)","Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","light customization, customized on demand, sample processing, graphic processing, light customization, customized on demand, sample processing, graphic processing",32,18
